law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
"Key Law Office, PC",https://www.keylawoffice.com/,,,Buda,TX,Hays,512-400-2350,,Estate Planning,1760 Fm 967 Ste A,78610,Austin,2,6,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Key Trial Lawyers,https://keytriallawyers.com/,,,Buda,TX,Hays,512-861-1280,,Personal Injury,1760 Fm 967 Ste A,78610,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"L.C. Alvidrez Law, PLLC d/b/a Edward Law",https://www.edwardlawaz.com,,,Buda,TX,Hays,512-719-2443,ej@edwardlawaz.com,Estate Planning,180 Esperanza Drive,78610,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
LAW OFFICE OF FRANCES V. DUNHAM,,,,Buda,TX,Hays,210-857-3599,,General,243 Sugar Cane Rd,78610,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"LDG, PLLC",https://www.ldgpllc.com/,,,Buda,TX,Hays,512-798-8883,admin@ldgpllc.com,Real Estate,205 East St,78610,Austin,2,2,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Law Firm of Lucinda Ramage Doyle & Associates, PLLC",,,,Buda,TX,Hays,512-757-3309,,Estate Planning,PO BOX 1733 (mailing) 800 S. FM 1626 Suite 211 (By appt),78610,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Law Office of Anthony J. Blazi / Blazi Mediation,https://blazimediation.com/,,,Buda,TX,Hays,512-844-5123,tony@blazimediation.com,General,201 Woodland Oaks Trl,78610,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
National Vision,,,,Buda,TX,Hays,716-517-0569,,Civil Litigation,1171 Live Oak Loop,78610,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
"Patrick S. Quigley, Attorney",,,,Buda,TX,Hays,140-977-1499,,General,605 BASIL DR,78610,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Prosise Law, PLLC",https://www.prosise.law/,,,Buda,TX,Hays,,,General,168 Pine Bark Dr,78610,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Robert Charles Giberson,,,,Buda,TX,Hays,512-312-2999,,Estate Planning,PO Box 430,78610,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
"The Granger Law Firm, PLLC",https://www.thegrangerlawfirm.com/,,,Buda,TX,Hays,512-718-8769,,General,"181 Cimarron Park Loop, Suite C",78610,Austin,4,3,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
The Remington Law Group PLLC,,,,Buda,TX,Hays,817-988-3555,,General,476 Suffield Dr Unit 119,78610,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Christian A. Bourgeacq ADR Services,https://cabadr.com/,,,Driftwood,TX,Hays,512-476-1232,,General,PO Box 16,78619,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Clayton James Cromer,,,,Driftwood,TX,Hays,,,General,PO Box 298,78619,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Dean Miller Kilgore,https://deankilgore.com/,,,Driftwood,TX,Hays,512-478-6120,kilgorelaw@msn.com,General,1012 Driftwood Valley Trl,78619,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Entertainment Business Solutions ATX,,,,Driftwood,TX,Hays,,,General,297 Towering Cedar Dr,78619,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Holm Law Firm, PLLC",https://www.thebigdoglawyer.com/,,,Driftwood,TX,Hays,512-585-0002,,General,221 Woodland Dr,78619,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Jessica Scott,,,,Driftwood,TX,Hays,512-565-2529,,General,PO Box 36,78619,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
John Thomas Jones,,,,Driftwood,TX,Hays,512-894-3810,,Real Estate,PO Box 9,78619,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Jonathan Steinberg,,,,Driftwood,TX,Hays,,,General,128 Hidden Canyon Cove,78619,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Joseph Robert Schneider,,,,Driftwood,TX,Hays,,,General,1304 Cedar Pass Rd,78619,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Julie Ermis Briggs,,,,Driftwood,TX,Hays,,,Real Estate,PO Box 320,78619,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Kevin Keaney PC,https://nursesattorneytexas.com/,,,Driftwood,TX,Hays,512-829-5619,contact@nursesattorneytexas.com,General,190 Hidden Canyon Cv,78619,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Laura Lee Tansey,,,,Driftwood,TX,Hays,512-299-2163,,General,PO Box 194,78619,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Law Office of J Michael Pruitt,,,,Driftwood,TX,Hays,512-858-2828,,Real Estate,430 Elder Hill Rd,78619,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
"Law Office of Joe Daniel Stokes, III",,,,Driftwood,TX,Hays,512-627-5095,,Criminal Defense,350 Chalk Bluff Ct,78619,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Leo L. Barnes,,,,Driftwood,TX,Hays,,,General,448 Bristlecone Drive,78619,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Patrick A. Nester,,,,Driftwood,TX,Hays,512-970-1227,,General,111 Chica Street,78619,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Renee M. Rusch,,,,Driftwood,TX,Hays,512-923-7130,,General,2100 Woods Loop,78619,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Ted Poe,,,,Driftwood,TX,Hays,,,Criminal Defense,PO Box 183,78619,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
The Ingles Law Firm PLLC,https://ingleslaw.com/,,,Driftwood,TX,Hays,512-522-5487,matthew.ingles.esq@gmail.com,Personal Injury,1165 Trebled Waters Trl,78619,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Amy Jeanne Welton,,,,Dripping Spgs,TX,Hays,830-868-7136,,Estate Planning,PO Box 1644,78620,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Avera Law Firm PLLC,https://www.averalaw.com/,,,Dripping Spgs,TX,Hays,512-615-3578,,Personal Injury,310 W Highway 290 Ste C,78620,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Baker Robertson & O'Brien,https://www.bakerattorneys.com/,,,Dripping Spgs,TX,Hays,512-894-0890,,Estate Planning,171 Benney Ln Ste 100 Bldg II,78620,Austin,2,6,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Cicala Wackerly Conrod PLLC,https://cwc.law/,,,Dripping Spgs,TX,Hays,512-275-6550,info@cwc.law,Civil Litigation,101 S College St,78620,Austin,3,2,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"D.E. Little Law Firm, PLLC",https://delittlelaw.com/,,,Dripping Spgs,TX,Hays,512-894-2070,,Personal Injury,15970 Fitzhugh Rd,78620,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Denise V Cheney, PLLC",,,,Dripping Spgs,TX,Hays,512-983-5503,,Real Estate,251 Pioneer Trl,78620,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Green & Associates,,,,Dripping Spgs,TX,Hays,512-858-1310,,General,PO Box 900,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Jeffrey Dale Cunningham,,,,Dripping Spgs,TX,Hays,512-858-9006,,General,100 Commons Rd Ste 7 PMB 418,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Joe Richard Pool,,,,Dripping Spgs,TX,Hays,512-784-5005,,Employment Law,3800 Creek Rd,78620,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
"Law Office of Andrei D Popovici, PC",,,,Dripping Spgs,TX,Hays,650-530-9989,,General,1450 W Highway 290 Unit 1200,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Law Office of Milena Christopher, P.C.",https://www.christopherlawfirm.com/,,,Dripping Spgs,TX,Hays,512-858-9779,,Estate Planning,3975 E Highway 290 Ste A,78620,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Livingston Law Firm,,,,Dripping Spgs,TX,Hays,512-587-3336,,General,801 Loop 165,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Marilyn G. Miller, Attorney at Law",https://mgmillerlaw.net/,,,Dripping Spgs,TX,Hays,512-894-0319,marilyn@mgmillerlaw.net,Estate Planning,1220 W Highway 290 Ste 102,78620,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Robert H. Fritz,https://fritzlawfirm.com/,,,Dripping Spgs,TX,Hays,713-869-2000,rhf@fritzlawfirm.com,Criminal Defense,13111 Silver Creek Rd,78620,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Ross Fischer Law, PLLC",https://rossfischer.law/,,,Dripping Spgs,TX,Hays,512-587-5995,info@rossfischer.law,General,430 Old Fitzhugh Rd Apt 7,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
The Brown Law Firm,https://brownbankruptcy.com/,,,Dripping Spgs,TX,Hays,512-306-0092,,Bankruptcy,13900 Sawyer Ranch Rd,78620,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"The Law Offices of David Sahl, P.C.",,,,Dripping Spgs,TX,Hays,512-894-0102,,Real Estate,PO Box 1201,78620,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Vines of Mendoza,,,,Dripping Spgs,TX,Hays,737-216-2394,,General,1300 Deer Creek Cir,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Watt Law Firm, PC",https://wattlaw.com/,,,Dripping Spgs,TX,Hays,512-894-4404,info@wattlaw.com,Civil Litigation,800 W Highway 290 Ste 100A,78620,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
"360 RE, L.L.C.",,,,Dripping Springs,TX,Hays,,,Real Estate,12414 Triple Creek Dr,78620,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Abby Lee Wells Raines,,,,Dripping Springs,TX,Hays,,,General,100 Pin Oak St,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Brady & Hamilton - Womack McClish,https://bhlawgroup.com/,,,Dripping Springs,TX,Hays,512-474-9875,takings@bhlawgroup.com,General,605 Blue Hills Dr,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
David G. Moring,,,,Dripping Springs,TX,Hays,713-825-9070,,Estate Planning,301 S. Canyonwood Drive,78620,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Davis & Associates,,,,Dripping Springs,TX,Hays,512-858-9910,,Real Estate,PO Box 1093,78620,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
"Engel, PLLC",,,,Dripping Springs,TX,Hays,512-565-5521,,Civil Litigation,100 Commons Rd Ste 7 Box 172,78620,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
"Erin Zwiener Law, PLLC",,,,Dripping Springs,TX,Hays,512-894-9919,,Personal Injury,1450 US Hwy 290 Box 117,78620,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Fulton Jeang PLLC,https://www.fultonjeang.com/,,,Dripping Springs,TX,Hays,972-971-5195,info@fultonjeang.com,General,110 W Lakeshore Dr,78620,Austin,4,2,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Geoffrey Robert Unger,,,,Dripping Springs,TX,Hays,512-750-3518,,General,400 Thomassen Ranch Rd,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Katherine F. Peake,,,,Dripping Springs,TX,Hays,830-998-1778,,General,P.O. Box 55,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Larry Richard Laden,,,,Dripping Springs,TX,Hays,512-914-6407,,Personal Injury,205 N Canyonwood Dr,78620,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Law Office of Tracy D. Cluck,,,,Dripping Springs,TX,Hays,512-264-9997,,Criminal Defense,"1450 W. Hwy 290, #855",78620,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Matthew Lanouette Nicholson,,,,Dripping Springs,TX,Hays,,,General,303 Saddlehorn Dr,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
McCollough Law Firm PC,http://www.dotlaw.biz/,,,Dripping Springs,TX,Hays,512-633-3498,,General,2290 Gatlin Creek Rd,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"McMillon Law, PC",,,,Dripping Springs,TX,Hays,,,Estate Planning,PO Box 1578,78620,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Melissa Kaye Hutts,,,,Dripping Springs,TX,Hays,,,Personal Injury,571 Dario Drive,78620,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
"Ornelas Law Firm, PLLC",,,,Dripping Springs,TX,Hays,,,General,"800 W. Hwy 290, Bldg. D, Ste 800",78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Paul Hastings LLP,,,,Dripping Springs,TX,Hays,512-923-7868,,General,200 Whispering Valley,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Robert D. Cox Attorney at Law,,,,Dripping Springs,TX,Hays,512-979-2925,,General,PO Box 498,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Robert Finnegan Doherty,,,,Dripping Springs,TX,Hays,,,General,480 Butler Ranch Road,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Russell C. Scott,,,,Dripping Springs,TX,Hays,512-461-5343,,General,371 Hillview Cir,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Tanner Neidhardt Law PLLC,,,,Dripping Springs,TX,Hays,940-736-9222,,Civil Litigation,PO Box 1478,78620,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
The Law Office of Stewart E Altmeyer PLLC,,,,Dripping Springs,TX,Hays,,,General,31610 Ranch Rd 12,78620,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Tyler Stephen George,,,,Dripping Springs,TX,Hays,,,Estate Planning,710 Barton Creek Dr Suite A,78620,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
"AZ Law Firm, PLLC",https://azfirm.law/,,,Kyle,TX,Hays,512-400-7070,kyle@azfirm.law,Criminal Defense,187 Elmhurst Ste A,78640,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Artie Pennington Law Offices, PLLC",https://www.artiepenningtonlaw.com/,,,Kyle,TX,Hays,512-646-0475,,Civil Litigation,"154 Elmhurst Dr., Ste. B",78640,Austin,3,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Brian E. Monte,,,,Kyle,TX,Hays,,,Employment Law,601 Backstays Loop,78640,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
"Don V. Ploeger, Attorney at Law",,,,Kyle,TX,Hays,512-256-5332,,Estate Planning,P.O.Box 365,78640,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
F. N. Blackwelder-Baggett,,,,Kyle,TX,Hays,512-400-7070,,Criminal Defense,187 Elmhurst Ste A,78640,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Glick Law & Associates,https://www.glicklawtx.com/,,,Kyle,TX,Hays,512-262-0232,office@glicklawtx.com,Criminal Defense,121 Hall Professional Ctr Ste A,78640,Austin,5,2,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Hancock Law Firm,,,,Kyle,TX,Hays,512-629-8756,,General,PO Box 9,78640,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Hudgens Law Office,,,,Kyle,TX,Hays,512-842-9645,,Personal Injury,PO Box 27,78640,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"John A. Hall and Associates, PC",https://www.johnhalllawfirm.com/,,,Kyle,TX,Hays,512-268-6425,,Estate Planning,PO Box 1614,78640,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Johnson Law Firm,,,,Kyle,TX,Hays,409-351-9090,,Estate Planning,129 Yosemite Dr,78640,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Joseph Edward Hancock,,,,Kyle,TX,Hays,,,General,120 Calle Largo,78640,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Karen Dianne McAshan,,,,Kyle,TX,Hays,,,General,PO Box 400,78640,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Kellee Hartman PC,,,,Kyle,TX,Hays,405-593-8558,,Personal Injury,5401 Fm 1626 Ste 170 PMB 288,78640,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
"Keyfli Law International, P.C.",,,,Kyle,TX,Hays,773-621-1389,,Criminal Defense,8004 Niederwald Strasse,78640,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Law Office of Denise Villarreal,,,,Kyle,TX,Hays,512-806-0138,,Real Estate,524 Sampson,78640,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Law Office of Gina Daniel,,,,Kyle,TX,Hays,214-538-5807,,Real Estate,209 Valruth Drive,78640,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Linda Ann Rodriguez,,,,Kyle,TX,Hays,512-753-2875,,Criminal Defense,105 Tonkawa Cv,78640,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Lovelady Law Office,https://www.loveladylawoffice.com/,,,Kyle,TX,Hays,512-904-0244,,Criminal Defense,409 W Center St,78640,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Lynn Peach Law,https://www.lynnpeach.com/,,,Kyle,TX,Hays,512-667-7274,lynn@lynnpeach.com,Criminal Defense,P O Box 509,78640,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Madsen Law Office,https://www.madsenlawtx.com/,,,Kyle,TX,Hays,512-358-1616,,General,"115 Kohlers Crossing, Suite 220",78640,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Marilyn E. Blethen, Attorney at Law, P.C.",,,,Kyle,TX,Hays,214-988-5434,,Estate Planning,PO Box 187,78640,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Maschoff Brennan,https://mabr.com/,,,Kyle,TX,Hays,435-575-1420,,General,"5401 S. FM 1626, Suite 170 PMB 175",78640,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Nancy K. Fahy,,,,Kyle,TX,Hays,713-591-8109,,General,311 Brent Blvd,78640,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Robert Wayne Potts,,,,Kyle,TX,Hays,512-268-0973,,General,156 Claudell Drive,78640,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Rogers Law PLLC,https://www.rogerslawkyle.com/,,,Kyle,TX,Hays,512-842-6573,,Estate Planning,1300 Dacy Ln Ste 200,78640,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
The Boling Law Firm PLLC,http://www.bolinglawfirm.com/,,,Kyle,TX,Hays,512-504-3051,,Estate Planning,PO Box 1358,78640,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"The Office of L.A.W., PLLC",,,,Kyle,TX,Hays,,,Personal Injury,1405 Cotton Gin Rd.,78640,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
The Pastrano Law Firm,,,,Kyle,TX,Hays,512-392-6100,,Personal Injury,PO Box 2587,78640,Austin,5,2,2026-09-13,State Bar of Texas Member Directory
"The Pettijohn Law Firm, PLLC",,,,Kyle,TX,Hays,409-996-3223,,Estate Planning,143 Dogvane Cir,78640,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Thomas Donald Moran,,,,Kyle,TX,Hays,713-857-9186,,Criminal Defense,P.O. Box 2623,78640,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
"Adoption Law Firm of Texas, P.C.",,,,San Marcos,TX,Hays,512-749-1300,,Estate Planning,102 Wonder World Dr Ste 304 PMB 168,78666,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Alexander Collins Joyner,,,,San Marcos,TX,Hays,512-777-7777,,General,"1913 Dutton Drive, Suite 307",78666,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Alfonso O. Salazar,https://www.defendingcitizens.com/,,,San Marcos,TX,Hays,210-290-2296,,Criminal Defense,108 E San Antonio St,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Alford Law PLLC,,,,San Marcos,TX,Hays,210-512-2222,,Personal Injury,219 N Comanche St,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Art Guzman, Attorney at Law PLLC",https://www.sanmarcosfamilylaw.com/,,,San Marcos,TX,Hays,512-392-6077,contact@sanmarcosfamilylaw.com,Personal Injury,604 W Hopkins St,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Brian Lee Baker,http://www.sanmarcos-dwilawyer.com/,,,San Marcos,TX,Hays,512-392-2300,brianlbaker@mail.com,Criminal Defense,100B N Edward Gary St Ste 116,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
DKFloyd Law PLLC,https://dkfloydlaw.com/,,,San Marcos,TX,Hays,830-630-9009,dfloyd@dkfloydlaw.com,Employment Law,102 Wonder World Dr Ste 304 PMB 1538,78666,Austin,3,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Dan Ray McCormack,,,,San Marcos,TX,Hays,512-353-0777,,General,174 S Guadalupe St Ste 106,78666,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
David Adrian Levy,,,,San Marcos,TX,Hays,,,Criminal Defense,103 Elm Hill Ct.,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
David B. Gaultney,,,,San Marcos,TX,Hays,409-781-6616,,General,1285 Cielo Ranch Dr,78666,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"David K. Sergi & Associates, P.C.",https://www.sergilaw.com/,,,San Marcos,TX,Hays,512-392-5010,,Criminal Defense,329 S Guadalupe St,78666,Austin,5,2,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Del Prado Dietz, PLLC",https://delpradodietz.com/,,,San Marcos,TX,Hays,512-878-0999,,Personal Injury,323 W Hopkins St,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Dr John Durrett Esq,,,,San Marcos,TX,Hays,737-335-3249,,Estate Planning,106 Chaparral St,78666,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Dudley Law Firm,https://www.todddudleylaw.com/,,,San Marcos,TX,Hays,512-695-9501,,Criminal Defense,100 N Edward Gary St Ste A2,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Elemental North America,,,,San Marcos,TX,Hays,844-271-9198,,General,525 Platinum Dr,78666,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Elvira Mendez,,,,San Marcos,TX,Hays,806-337-0606,,Criminal Defense,"900 Bugg Ln, Ste 110A #1106",78667,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
"Gary S Tradd, PLLC",,,,San Marcos,TX,Hays,832-725-5473,,Estate Planning,124 Wading Grotto Cove,78666,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
"J. Chris Villarreal, Attorney at Law",https://jcvlawtx.com/,,,San Marcos,TX,Hays,512-775-3130,chris@jcvlawtx.com,Criminal Defense,102 Wonder World Dr Ste 304 PMB 1002,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Jack P. Bacon,,,,San Marcos,TX,Hays,512-914-8619,,Criminal Defense,116 Mary Max Cir,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
"Jason M. Krellenstein, PLLC",,,,San Marcos,TX,Hays,512-798-0323,,Employment Law,109 E Hopkins St Ste 203,78666,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
John H. Gilliam Law Office,,,,San Marcos,TX,Hays,512-423-8433,,Estate Planning,302 W Martin Luther King Dr,78666,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Kebodeaux Law PLLC,https://www.khalaw.com/,,,San Marcos,TX,Hays,409-658-1776,kkebodeaux@khalaw.com,Personal Injury,144 E San Antonio St,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Lakyn Briana Segovia,,,,San Marcos,TX,Hays,512-393-7600,,General,712 S Stagecoach Trl Ste 2057,78666,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Law Office Of Raul Vasquez,,,,San Marcos,TX,Hays,956-717-5809,,General,PO Box 2890,78667,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Law Office of Bill Henry/Henry Dispute Resolution,https://www.henrydisputeresolution.com/,,,San Marcos,TX,Hays,512-426-5960,judgebillhenry@gmail.com,General,131 Fence Line Drive,78666,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Law Office of Case J. Darwin, Inc.",https://casedarwinlaw.com/,,,San Marcos,TX,Hays,512-738-6146,case@casedarwinlaw.com,Criminal Defense,604 W Hopkins St,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Law Office of Cliff McCormack,,,,San Marcos,TX,Hays,512-353-3803,,Criminal Defense,174 S Guadalupe St Ste 106,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Law Office of David S Watts,,,,San Marcos,TX,Hays,512-395-8538,,Criminal Defense,108 E San Antonio St,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Law Office of Floyd Akers,,,,San Marcos,TX,Hays,512-529-5459,,Criminal Defense,PO Box 1179,78667,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Law Office of John McGlothlin, PC",https://mjwlawtx.com/,,,San Marcos,TX,Hays,512-392-7510,info@mcglothlinlaw.com,Civil Litigation,133 W San Antonio St Ste 400,78666,Austin,3,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Law Office of Robert Dittman,https://www.robertdittmanlaw.com/,,,San Marcos,TX,Hays,210-299-7658,robert@robertdittmanlaw.com,Criminal Defense,530 Barnes Dr Ste 101,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Law Offices of Fay Cliett Gillham,http://www.gillhamlaw.com/,,,San Marcos,TX,Hays,512-392-3300,office@gillhamlaw.com,Estate Planning,325 E Hopkins St,78666,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Marcos Hernandez,,,,San Marcos,TX,Hays,512-396-8803,,Criminal Defense,121 Olive St.,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
McCreary Veselka Bragg & Allen P.C.,https://mvbalaw.com/,,,San Marcos,TX,Hays,512-323-3200,,General,PO Box 1290,78667,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
McGlothlin Junkin & Wilde P.C.,https://mjwlawtx.com/,,,San Marcos,TX,Hays,512-392-7510,info@mcglothlinlaw.com,Civil Litigation,133 W San Antonio St Ste 400,78666,Austin,3,4,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
McNutt Law Firm,https://www.jmcnuttlaw.com/,,,San Marcos,TX,Hays,512-667-9231,,Estate Planning,3331 Ranch Road 12 Ste 107 Ste 107A,78666,Austin,2,3,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website; manual verified search
